product_id,name,category,style,colour,design,price,brand,stock_status
P001,Classic Polo Shirt,Topwear,Ethnic,Grey,Graphic,1220,Roadster,In Stock
P002,Oversized Hoodie,Topwear,Casual,Green,Checkered,3390,Biba,In Stock
P003,Striped Tee,Topwear,Casual,Red,Graphic,1690,Nike,In Stock
P004,Linen Shirt,Topwear,Casual,Blue,Striped,4920,Biba,In Stock
P005,Graphic Sweatshirt,Topwear,Ethnic,Pink,Graphic,2960,W,Low Stock
P006,Slim Fit Kurta,Topwear,Ethnic,Red,Striped,3350,H&M,In Stock
P007,Denim Jacket,Topwear,Ethnic,Red,Striped,4060,Allen Solly,Low Stock
P008,Bomber Jacket,Topwear,Casual,Orange,Striped,4600,Zara,Low Stock
P009,Casual Blazer,Topwear,Formal,Grey,Graphic,2750,Allen Solly,Out of Stock
P010,Crop Top,Topwear,Streetwear,Grey,Checkered,4110,Allen Solly,Low Stock
P011,Tank Top,Topwear,Sporty,Grey,Striped,3770,Roadster,Low Stock
P012,Full Sleeve Tee,Topwear,Streetwear,Red,Graphic,1530,Allen Solly,Low Stock
P013,Henley Shirt,Topwear,Formal,Green,Embroidered,570,Puma,In Stock
P014,Flannel Shirt,Topwear,Streetwear,Yellow,Printed,4490,Zara,In Stock
P015,Longline Tee,Topwear,Formal,Red,Embroidered,3530,Nike,In Stock
P016,Embroidered Kurti,Topwear,Ethnic,Pink,Printed,2800,W,In Stock
P017,Cotton Shirt,Topwear,Formal,Pink,Embroidered,4540,Biba,In Stock
P018,Sleeveless Top,Topwear,Sporty,Pink,Embroidered,230,Levi's,In Stock
P019,Zip-Up Hoodie,Topwear,Ethnic,Pink,Checkered,3790,Allen Solly,Out of Stock
P020,Printed Tee,Topwear,Formal,Grey,Striped,1510,Roadster,In Stock
P021,Ribbed Vest,Topwear,Ethnic,Yellow,Graphic,3460,W,In Stock
P022,Tie-Dye Tee,Topwear,Ethnic,White,Checkered,2760,W,Out of Stock
P023,Slim Fit Jeans,Bottomwear,Sporty,Blue,Solid,3280,Fabindia,Low Stock
P024,Jogger Pants,Bottomwear,Formal,Blue,Printed,2020,Nike,Low Stock
P025,Chino Trousers,Bottomwear,Streetwear,Yellow,Embroidered,1530,W,In Stock
P026,Palazzo Pants,Bottomwear,Casual,Grey,Solid,3790,H&M,In Stock
P027,Cargo Pants,Bottomwear,Formal,Black,Graphic,390,H&M,In Stock
P028,Straight Fit Jeans,Bottomwear,Formal,Blue,Checkered,930,Fabindia,Low Stock
